Wav (nm)	CalR)	Wav (nm)	MeasuredR	Torg (nm)	Tmir (nm)	
Wavelength (nm) - Plot 0	Reflectance - Plot 0	Wavelength (nm) - ÇúÏß 1	Reflectance - ÇúÏß 1	
		566.15	0.93	
		566.49	0.93	
		566.84	0.94	
		567.18	0.94	
		567.53	0.93	
		567.87	0.94	
		568.21	0.94	
		568.56	0.94	
		568.90	0.94	
		569.25	0.94	
		569.59	0.94	
		569.94	0.94	
		570.28	0.94	
		570.62	0.94	
		570.97	0.94	
		571.31	0.94	
		571.65	0.95	
		572.00	0.94	
		572.34	0.95	
		572.69	0.95	
		573.03	0.95	
		573.37	0.94	
		573.72	0.95	
		574.06	0.95	
		574.40	0.95	
		574.75	0.95	
		575.09	0.95	
		575.43	0.95	
		575.78	0.95	
		576.12	0.95	
		576.46	0.95	
		576.81	0.95	
		577.15	0.95	
		577.49	0.95	
		577.84	0.95	
		578.18	0.95	
		578.52	0.95	
		578.86	0.95	
		579.21	0.95	
		579.55	0.95	
		579.89	0.95	
		580.24	0.96	
		580.58	0.95	
		580.92	0.96	
		581.26	0.96	
		581.61	0.96	
		581.95	0.95	
		582.29	0.95	
		582.63	0.95	
		582.98	0.95	
		583.32	0.95	
		583.66	0.95	
		584.00	0.95	
		584.35	0.95	
		584.69	0.96	
		585.03	0.95	
		585.37	0.96	
		585.71	0.96	
		586.06	0.95	
		586.40	0.96	
		586.74	0.96	
		587.08	0.95	
		587.42	0.95	
		587.77	0.96	
		588.11	0.96	
		588.45	0.95	
		588.79	0.96	
		589.13	0.95	
		589.47	0.96	
		589.81	0.95	
		590.16	0.96	
		590.50	0.96	
		590.84	0.96	
		591.18	0.96	
		591.52	0.96	
		591.86	0.96	
		592.20	0.96	
		592.55	0.96	
		592.89	0.96	
		593.23	0.96	
		593.57	0.96	
		593.91	0.96	
		594.25	0.96	
		594.59	0.96	
		594.93	0.96	
		595.27	0.96	
		595.61	0.96	
		595.95	0.96	
		596.30	0.96	
		596.64	0.96	
		596.98	0.96	
		597.32	0.96	
		597.66	0.96	
		598.00	0.96	
		598.34	0.96	
		598.68	0.96	
		599.02	0.96	
		599.36	0.96	
		599.70	0.96	
		600.04	0.96	
		600.38	0.96	
		600.72	0.96	
		601.06	0.96	
		601.40	0.97	
		601.74	0.96	
		602.08	0.96	
		602.42	0.96	
		602.76	0.96	
		603.10	0.96	
		603.44	0.96	
		603.78	0.96	
		604.12	0.97	
		604.46	0.96	
		604.80	0.96	
		605.14	0.96	
		605.48	0.96	
		605.82	0.96	
		606.16	0.96	
		606.50	0.96	
		606.84	0.96	
		607.17	0.97	
		607.51	0.96	
		607.85	0.96	
		608.19	0.96	
		608.53	0.96	
		608.87	0.97	
		609.21	0.96	
		609.55	0.96	
		609.89	0.96	
		610.23	0.96	
		610.56	0.96	
		610.90	0.97	
		611.24	0.96	
		611.58	0.97	
		611.92	0.97	
		612.26	0.96	
		612.60	0.97	
		612.94	0.96	
		613.27	0.96	
		613.61	0.97	
		613.95	0.97	
		614.29	0.97	
		614.63	0.97	
		614.97	0.97	
		615.30	0.97	
		615.64	0.97	
		615.98	0.97	
		616.32	0.97	
		616.66	0.97	
		616.99	0.97	
		617.33	0.97	
		617.67	0.97	
		618.01	0.96	
		618.35	0.96	
		618.68	0.97	
		619.02	0.97	
