Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)
										5.932E+2	9.051E-4
										5.936E+2	9.070E-4
										5.939E+2	8.970E-4
										5.942E+2	8.807E-4
										5.946E+2	8.486E-4
										5.949E+2	8.592E-4
										5.953E+2	8.384E-4
										5.956E+2	8.260E-4
										5.960E+2	8.310E-4
										5.963E+2	8.374E-4
										5.966E+2	7.985E-4
										5.970E+2	8.148E-4
										5.973E+2	8.061E-4
										5.977E+2	7.803E-4
										5.980E+2	7.684E-4
										5.983E+2	7.617E-4
										5.987E+2	7.623E-4
										5.990E+2	7.467E-4
										5.994E+2	7.410E-4
										5.997E+2	7.397E-4
										6.000E+2	7.190E-4
										6.004E+2	7.215E-4
										6.007E+2	6.987E-4
										6.011E+2	6.856E-4
										6.014E+2	6.746E-4
										6.017E+2	6.615E-4
										6.021E+2	6.729E-4
										6.024E+2	6.547E-4
										6.028E+2	6.500E-4
										6.031E+2	6.325E-4
										6.034E+2	6.318E-4
										6.038E+2	6.259E-4
										6.041E+2	6.359E-4
										6.045E+2	6.151E-4
										6.048E+2	6.044E-4
										6.051E+2	6.084E-4
										6.055E+2	5.841E-4
										6.058E+2	5.915E-4
										6.062E+2	5.919E-4
										6.065E+2	5.777E-4
										6.068E+2	5.832E-4
